Feature,Importance,Std
education_enc,0.000200080532732377,0.00039821335518730797
department_enc,-0.00011316872486812727,0.00027233194364386016
role_enc,-0.000505927212006612,0.0005159362989937888
salary,-0.0009063985906777809,0.0005743283734031483
projects_completed,-0.0017091214073510542,0.0004717271077764451
attendance_rate,-0.0027552562705793733,0.0007225523294130433
experience_years,-0.003026113927236572,0.0009334964078795371
age,-0.0035140227948128357,0.0006355030263967393
overtime_hours,-0.003518815759482899,0.0012027357380483836
peer_score,-0.0064992192004333605,0.0009634846374500413
training_hours,-0.007088598597021658,0.0011680943193926347
manager_rating,-0.009496241202209953,0.0013555532697214355
goal_achievement_pct,-0.02431782446131367,0.0013396914495264248
